Date,VisitorNeutral,HomeNeutral,deltaOEFF,deltaDEFF,Y
2014,San Antonio,Oklahoma City,0,1.5,FALSE
2014,Miami,San Antonio,-0.5,-3.39999999999999,TRUE
2014,Miami,San Antonio,-0.5,-3.39999999999999,FALSE
2014,San Antonio,Miami,0.5,3.39999999999999,FALSE
2014,San Antonio,Miami,0.5,3.39999999999999,FALSE
2014,Miami,San Antonio,-0.5,-3.39999999999999,TRUE
2015,Washington,Toronto,7.39999999999999,4.89999999999999,FALSE
2015,New Orleans,Golden State,3.39999999999999,-6.10000000000001,TRUE
2015,Milwaukee,Chicago,4.89999999999999,2.10000000000001,TRUE
2015,Dallas,Houston,-2.59999999999999,-3,TRUE
2015,Boston,Cleveland,6.5,1.8,TRUE
2015,Brooklyn,Atlanta,4.5,-4.30000000000001,TRUE
2015,Portland,Memphis,-2.5,-1.5,TRUE
2015,San Antonio,LA Clippers,3.90000000000001,3.5,TRUE
2015,Milwaukee,Chicago,4.89999999999999,2.10000000000001,TRUE
2015,New Orleans,Golden State,3.39999999999999,-6.10000000000001,TRUE
2015,Boston,Cleveland,6.5,1.8,TRUE
2015,Washington,Toronto,7.39999999999999,4.89999999999999,FALSE
2015,Dallas,Houston,-2.59999999999999,-3,TRUE
2015,Brooklyn,Atlanta,4.5,-4.30000000000001,TRUE
2015,Portland,Memphis,-2.5,-1.5,TRUE
2015,San Antonio,LA Clippers,3.90000000000001,3.5,FALSE
2015,Cleveland,Boston,-6.5,-1.8,FALSE
2015,Chicago,Milwaukee,-4.89999999999999,-2.10000000000001,FALSE
2015,Golden State,New Orleans,-3.39999999999999,6.10000000000001,FALSE
2015,Houston,Dallas,2.59999999999999,3,FALSE
2015,Toronto,Washington,-7.39999999999999,-4.89999999999999,TRUE
2015,LA Clippers,San Antonio,-3.90000000000001,-3.5,TRUE
2015,Atlanta,Brooklyn,-4.5,4.30000000000001,TRUE
2015,Chicago,Milwaukee,-4.89999999999999,-2.10000000000001,TRUE
2015,Golden State,New Orleans,-3.39999999999999,6.10000000000001,FALSE
2015,Memphis,Portland,2.5,1.5,FALSE
2015,Cleveland,Boston,-6.5,-1.8,FALSE
2015,LA Clippers,San Antonio,-3.90000000000001,-3.5,FALSE
2015,Toronto,Washington,-7.39999999999999,-4.89999999999999,TRUE
2015,Houston,Dallas,2.59999999999999,3,TRUE
2015,Atlanta,Brooklyn,-4.5,4.30000000000001,TRUE
2015,Milwaukee,Chicago,4.89999999999999,2.10000000000001,FALSE
2015,Memphis,Portland,2.5,1.5,TRUE
2015,Dallas,Houston,-2.59999999999999,-3,TRUE
2015,San Antonio,LA Clippers,3.90000000000001,3.5,FALSE
2015,Brooklyn,Atlanta,4.5,-4.30000000000001,TRUE
2015,Portland,Memphis,-2.5,-1.5,TRUE
2015,Chicago,Milwaukee,-4.89999999999999,-2.10000000000001,FALSE
2015,LA Clippers,San Antonio,-3.90000000000001,-3.5,FALSE
2015,Atlanta,Brooklyn,-4.5,4.30000000000001,FALSE
2015,San Antonio,LA Clippers,3.90000000000001,3.5,TRUE
2015,Washington,Atlanta,5.2,0.199999999999989,FALSE
2015,Memphis,Golden State,5.89999999999999,-0.900000000000006,TRUE
2015,Chicago,Cleveland,3.60000000000001,1.89999999999999,FALSE
2015,LA Clippers,Houston,-5.5,-2.09999999999999,FALSE
2015,Washington,Atlanta,5.2,0.199999999999989,TRUE
2015,Memphis,Golden State,5.89999999999999,-0.900000000000006,FALSE
2015,Chicago,Cleveland,3.60000000000001,1.89999999999999,TRUE
2015,LA Clippers,Houston,-5.5,-2.09999999999999,TRUE
2015,Cleveland,Chicago,-3.60000000000001,-1.89999999999999,TRUE
2015,Houston,LA Clippers,5.5,2.09999999999999,TRUE
2015,Atlanta,Washington,-5.2,-0.199999999999989,TRUE
2015,Golden State,Memphis,-5.89999999999999,0.900000000000006,TRUE
2015,Cleveland,Chicago,-3.60000000000001,-1.89999999999999,FALSE
2015,Houston,LA Clippers,5.5,2.09999999999999,TRUE
2015,Atlanta,Washington,-5.2,-0.199999999999989,FALSE
2015,Golden State,Memphis,-5.89999999999999,0.900000000000006,FALSE
2015,Chicago,Cleveland,3.60000000000001,1.89999999999999,TRUE
2015,LA Clippers,Houston,-5.5,-2.09999999999999,TRUE
2015,Washington,Atlanta,5.2,0.199999999999989,TRUE
2015,Memphis,Golden State,5.89999999999999,-0.900000000000006,TRUE
2015,Cleveland,Chicago,-3.60000000000001,-1.89999999999999,FALSE
